Em,IDSessao,Pedido,IP,Pageviews
08/05/2017 21:14:00,2093961665,,"66.249.64.218",0
08/05/2017 21:07:00,2093958113,,"66.249.64.210",0
08/05/2017 21:01:00,2093955114,,"40.77.167.133",0
08/05/2017 21:00:00,2093954519,,"187.84.7.39",2
08/05/2017 20:58:00,2093953718,,"177.154.28.42",5
08/05/2017 20:55:00,2093952208,,"187.10.65.83",11
08/05/2017 20:52:00,2093950922,,"200.164.246.73",17
08/05/2017 20:49:00,2093948835,,"201.69.187.89",15
08/05/2017 20:46:00,2093947427,,"186.203.13.124",1
08/05/2017 20:45:00,2093946887,,"200.188.227.252",2
08/05/2017 20:45:00,2093946775,,"66.249.64.214",0
08/05/2017 20:43:00,2093946034,,"189.120.190.41",2
08/05/2017 20:41:00,2093944944,,"66.249.64.210",0
08/05/2017 20:41:00,2093944844,,"66.249.64.214",0
08/05/2017 20:41:00,2093944830,,"66.249.64.210",0
08/05/2017 20:41:00,2093944791,,"66.249.64.218",0
08/05/2017 20:41:00,2093944767,,"66.249.64.210",0
08/05/2017 20:40:00,2093944728,,"66.249.64.210",0
08/05/2017 20:40:00,2093944683,,"66.249.64.210",0
08/05/2017 20:40:00,2093944675,,"66.249.64.214",0
08/05/2017 20:40:00,2093944649,,"66.249.64.210",0
08/05/2017 20:35:00,2093942034,,"131.253.27.56",0
08/05/2017 20:34:00,2093941534,,"66.249.64.218",0
08/05/2017 20:33:00,2093940969,,"186.224.167.189",56
08/05/2017 20:30:00,2093939888,,"66.249.64.210",0
08/05/2017 20:30:00,2093939488,,"66.249.64.214",0
08/05/2017 20:27:00,2093938203,,"177.177.236.63",8
08/05/2017 20:27:00,2093937971,,"177.38.20.39",10
08/05/2017 20:26:00,2093937846,,"66.249.64.210",0
08/05/2017 20:23:00,2093936166,,"187.122.172.100",7
08/05/2017 20:22:00,2093935595,,"66.249.64.218",0
08/05/2017 20:18:00,2093933919,,"189.120.183.209",1
08/05/2017 20:18:00,2093933842,,"54.236.1.13",0
08/05/2017 20:18:00,2093933802,,"189.120.183.209",14
08/05/2017 20:11:00,2093930784,,"65.55.210.44",0
08/05/2017 20:11:00,2093930741,,"157.55.39.122",0
08/05/2017 20:08:00,2093929214,,"177.156.95.159",16
08/05/2017 20:07:00,2093928975,,"187.180.7.211",0
08/05/2017 20:03:00,2093926707,,"187.57.48.51",21
08/05/2017 20:02:00,2093926241,,"186.237.159.228",1
08/05/2017 19:57:00,2093923908,,"186.205.72.237",45
08/05/2017 19:55:00,2093923092,,"187.43.235.66",5
08/05/2017 19:52:00,2093921780,,"66.249.64.210",0
08/05/2017 19:50:00,2093920693,,"177.152.73.54",4
08/05/2017 19:46:00,2093918924,,"189.62.81.31",5
08/05/2017 19:45:00,2093918406,,"54.236.1.13",0
08/05/2017 19:39:00,2093915297,,"157.55.39.122",0
08/05/2017 19:38:00,2093914938,,"65.55.210.20",0
08/05/2017 19:37:00,2093914513,,"191.182.212.181",6
08/05/2017 19:34:00,2093913358,,"186.206.84.201",33
08/05/2017 19:34:00,2093913187,,"131.253.27.56",0
08/05/2017 19:34:00,2093913153,,"157.55.39.79",0
08/05/2017 19:33:00,2093912782,,"177.79.7.175",3
08/05/2017 19:21:00,2093906834,,"66.249.64.210",0
08/05/2017 19:21:00,2093906823,,"177.75.153.21",1
08/05/2017 19:19:00,2093905655,,"167.249.113.17",1
08/05/2017 19:19:00,2093905616,,"66.102.7.198",0
08/05/2017 19:19:00,2093905615,,"66.102.7.200",0
08/05/2017 19:19:00,2093905578,,"66.102.7.200",0
